epoc (ms),timestamp (+0300),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1744041130532,2025-04-07T18.52.10.532,9.073,-0.000349187,0.000065250,-0.000242125
1744041130572,2025-04-07T18.52.10.572,9.113,-0.000349187,0.000065250,-0.000240875
1744041130611,2025-04-07T18.52.10.611,9.152,-0.000348812,0.000064500,-0.000242000
1744041130652,2025-04-07T18.52.10.652,9.193,-0.000349187,0.000065562,-0.000241750
1744041130692,2025-04-07T18.52.10.692,9.233,-0.000348437,0.000064875,-0.000241250
1744041130731,2025-04-07T18.52.10.731,9.272,-0.000349562,0.000065562,-0.000241688
1744041130771,2025-04-07T18.52.10.771,9.312,-0.000348812,0.000065250,-0.000241625
1744041130811,2025-04-07T18.52.10.811,9.352,-0.000348437,0.000064875,-0.000241625
1744041130850,2025-04-07T18.52.10.850,9.391,-0.000349187,0.000064875,-0.000241688
1744041130891,2025-04-07T18.52.10.891,9.432,-0.000349562,0.000064875,-0.000242437
1744041130931,2025-04-07T18.52.10.931,9.472,-0.000349562,0.000065938,-0.000241313
1744041130970,2025-04-07T18.52.10.970,9.511,-0.000349938,0.000065938,-0.000241375
1744041131010,2025-04-07T18.52.11.010,9.551,-0.000349187,0.000064500,-0.000242562
1744041131049,2025-04-07T18.52.11.049,9.590,-0.000349938,0.000065250,-0.000241313
1744041131089,2025-04-07T18.52.11.089,9.630,-0.000349562,0.000066313,-0.000241688
1744041131130,2025-04-07T18.52.11.130,9.671,-0.000350250,0.000065938,-0.000240813
1744041131169,2025-04-07T18.52.11.169,9.710,-0.000350313,0.000065562,-0.000240938
1744041131209,2025-04-07T18.52.11.209,9.750,-0.000350313,0.000065250,-0.000242500
1744041131249,2025-04-07T18.52.11.249,9.790,-0.000349938,0.000065250,-0.000243250
1744041131288,2025-04-07T18.52.11.288,9.829,-0.000349938,0.000064875,-0.000241313
1744041131328,2025-04-07T18.52.11.328,9.869,-0.000349938,0.000064875,-0.000242125
1744041131369,2025-04-07T18.52.11.369,9.910,-0.000349562,0.000065938,-0.000242125
1744041131408,2025-04-07T18.52.11.408,9.949,-0.000348812,0.000064875,-0.000242062
1744041131448,2025-04-07T18.52.11.448,9.989,-0.000350313,0.000064875,-0.000242875
1744041131487,2025-04-07T18.52.11.487,10.028,-0.000350688,0.000065250,-0.000241750
1744041131527,2025-04-07T18.52.11.527,10.068,-0.000350313,0.000065562,-0.000242500
1744041131566,2025-04-07T18.52.11.566,10.107,-0.000349562,0.000065938,-0.000241250
1744041131607,2025-04-07T18.52.11.607,10.148,-0.000349938,0.000065562,-0.000241375
1744041131647,2025-04-07T18.52.11.647,10.188,-0.000349875,0.000065938,-0.000241563
1744041131687,2025-04-07T18.52.11.687,10.228,-0.000348812,0.000066313,-0.000242062
1744041131726,2025-04-07T18.52.11.726,10.267,-0.000351000,0.000065562,-0.000241625
1744041131766,2025-04-07T18.52.11.766,10.307,-0.000350250,0.000066313,-0.000241625
1744041131805,2025-04-07T18.52.11.805,10.346,-0.000349562,0.000065188,-0.000242000
1744041131846,2025-04-07T18.52.11.846,10.387,-0.000351000,0.000065188,-0.000242375
1744041131886,2025-04-07T18.52.11.886,10.427,-0.000351000,0.000065938,-0.000242000
1744041131925,2025-04-07T18.52.11.925,10.466,-0.000349938,0.000065938,-0.000242437
1744041131965,2025-04-07T18.52.11.965,10.506,-0.000351750,0.000064875,-0.000242437
1744041132004,2025-04-07T18.52.12.004,10.545,-0.000349938,0.000065562,-0.000241625
1744041132044,2025-04-07T18.52.12.044,10.585,-0.000351375,0.000066313,-0.000242062
1744041132085,2025-04-07T18.52.12.085,10.626,-0.000350250,0.000066313,-0.000241250
1744041132125,2025-04-07T18.52.12.125,10.666,-0.000350250,0.000065938,-0.000242062
1744041132164,2025-04-07T18.52.12.164,10.705,-0.000350250,0.000065938,-0.000240875
1744041132204,2025-04-07T18.52.12.204,10.745,-0.000351000,0.000066313,-0.000241313
1744041132243,2025-04-07T18.52.12.243,10.784,-0.000350688,0.000064875,-0.000241750
1744041132283,2025-04-07T18.52.12.283,10.824,-0.000351000,0.000065938,-0.000241937
1744041132324,2025-04-07T18.52.12.324,10.865,-0.000349938,0.000064875,-0.000241250
1744041132363,2025-04-07T18.52.12.363,10.904,-0.000352125,0.000065562,-0.000242062
1744041132403,2025-04-07T18.52.12.403,10.944,-0.000349562,0.000064875,-0.000241625
1744041132442,2025-04-07T18.52.12.442,10.983,-0.000349500,0.000065938,-0.000241188
1744041132482,2025-04-07T18.52.12.482,11.023,-0.000349187,0.000066313,-0.000241688
1744041132522,2025-04-07T18.52.12.522,11.063,-0.000349562,0.000065250,-0.000241625
1744041132563,2025-04-07T18.52.12.563,11.104,-0.000349875,0.000065188,-0.000241188
1744041132602,2025-04-07T18.52.12.602,11.143,-0.000350625,0.000065562,-0.000242125
1744041132642,2025-04-07T18.52.12.642,11.183,-0.000349500,0.000065938,-0.000241937
1744041132681,2025-04-07T18.52.12.681,11.222,-0.000349938,0.000064875,-0.000242875
1744041132721,2025-04-07T18.52.12.721,11.262,-0.000349938,0.000064500,-0.000241625
1744041132760,2025-04-07T18.52.12.760,11.301,-0.000349938,0.000065562,-0.000241250
1744041132801,2025-04-07T18.52.12.801,11.342,-0.000351375,0.000065938,-0.000241688
1744041132841,2025-04-07T18.52.12.841,11.382,-0.000351000,0.000066687,-0.000242062
1744041132880,2025-04-07T18.52.12.880,11.421,-0.000350313,0.000065562,-0.000241625
1744041132920,2025-04-07T18.52.12.920,11.461,-0.000349938,0.000064875,-0.000241625
1744041132959,2025-04-07T18.52.12.959,11.500,-0.000350625,0.000065188,-0.000243188
1744041132999,2025-04-07T18.52.12.999,11.540,-0.000350625,0.000065562,-0.000242062
1744041133040,2025-04-07T18.52.13.040,11.581,-0.000352125,0.000065562,-0.000241313
1744041133080,2025-04-07T18.52.13.080,11.621,-0.000350625,0.000065938,-0.000242375
1744041133119,2025-04-07T18.52.13.119,11.660,-0.000350625,0.000066313,-0.000241188
1744041133159,2025-04-07T18.52.13.159,11.700,-0.000350625,0.000065938,-0.000242062
1744041133198,2025-04-07T18.52.13.198,11.739,-0.000351000,0.000065938,-0.000242875
1744041133238,2025-04-07T18.52.13.238,11.779,-0.000351375,0.000065938,-0.000242000
1744041133279,2025-04-07T18.52.13.279,11.820,-0.000350625,0.000065938,-0.000242375
1744041133318,2025-04-07T18.52.13.318,11.859,-0.000352125,0.000065938,-0.000242125
1744041133358,2025-04-07T18.52.13.358,11.899,-0.000351000,0.000065250,-0.000242125
1744041133397,2025-04-07T18.52.13.397,11.938,-0.000350625,0.000065562,-0.000242125
1744041133437,2025-04-07T18.52.13.437,11.978,-0.000352125,0.000065250,-0.000242875
1744041133477,2025-04-07T18.52.13.477,12.018,-0.000351375,0.000065938,-0.000242375
1744041133518,2025-04-07T18.52.13.518,12.059,-0.000350625,0.000065250,-0.000242062
1744041133557,2025-04-07T18.52.13.557,12.098,-0.000351375,0.000065562,-0.000242375
1744041133597,2025-04-07T18.52.13.597,12.138,-0.000350313,0.000065938,-0.000241625
1744041133636,2025-04-07T18.52.13.636,12.177,-0.000351375,0.000066313,-0.000242875
